nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Juliana Tereza Gonçalves;61;305.937.378-73;32.899.895-3;26/02/1962;Feminino;Peixes;Allana Benedita Vanessa;Ryan Geraldo Gonçalves;juliana_tereza_goncalves@raioazul.com.br;QWruoK2kZe;25271-150;Rua Um;531;Parque Santo Antônio;Duque de Caxias;RJ;(21) 2545-5067;(21) 99679-9786;1.85;89;AB+;vermelho
Cauã Nicolas Silva;76;917.254.751-03;13.119.423-9;01/01/1947;Masculino;Capricórnio;Milena Catarina Analu;Leonardo Carlos Samuel Silva;caua-silva84@securitycontrol.com.br;A4wz3wQbLQ;71693-054;Rua 7;961;Vila São José (São Sebastião);Brasília;DF;(61) 3673-5835;(61) 98633-5745;1.75;68;B+;roxo
Murilo Mateus Barbosa;42;186.738.532-57;40.389.289-2;09/02/1981;Masculino;Aquário;Laís Alana Bruna;Renato Yuri Thomas Barbosa;murilo_barbosa@zipmail.com.br;bs3pWJNwmm;78060-003;Avenida Governador Dante Martins de Oliveira;212;Jardim Leblon;Cuiabá;MT;(65) 2541-1613;(65) 98274-3969;1.94;85;O+;vermelho
Manuel Roberto Drumond;79;988.832.385-75;44.374.691-6;21/02/1944;Masculino;Peixes;Marcela Julia;Diego Luís Severino Drumond;manuel-drumond78@solpro.biz;LBASx8y1Cr;53620-120;Rua Fim de Semana;526;Encanto Igarassu;Igarassu;PE;(81) 2649-8770;(81) 98791-9814;1.65;83;B+;verde
Cauê Vinicius de Paula;20;068.343.680-51;31.688.112-0;03/02/2003;Masculino;Aquário;Silvana Helena;Pedro Henrique Samuel de Paula;caue_depaula@lifefp.com.br;aotoLfqk6g;76908-698;Rua Ipê;251;Valparaíso;Ji-Paraná;RO;(69) 2865-0117;(69) 98247-4589;1.79;64;A+;roxo
Stella Joana da Cruz;79;053.170.917-56;10.261.878-1;11/01/1944;Feminino;Capricórnio;Bárbara Helena Juliana;Guilherme Carlos Yago da Cruz;stella-dacruz79@fingrs.com.br;P7eyMUk8c0;36204-074;Rua José Gonçalves Araújo;204;Santa Efigênia;Barbacena;MG;(32) 2609-6169;(32) 98555-8915;1.75;76;B+;preto
Severino Lucca Ramos;64;124.661.151-15;24.154.215-7;11/01/1959;Masculino;Capricórnio;Amanda Olivia Helena;Mário Roberto Ramos;severino.lucca.ramos@inbox.com;CtmlNPXRuU;35164-120;Rua Turim;234;Bethânia;Ipatinga;MG;(31) 2697-0388;(31) 99426-0180;1.89;50;AB-;verde
Eduarda Isabella da Rosa;33;901.932.946-48;36.473.975-7;04/01/1990;Feminino;Capricórnio;Antônia Luciana;Victor Henrique Rafael da Rosa;eduarda_darosa@vemter.com.br;wIJnWCNTex;64601-303;Travessa Petrônio Portela;227;São José;Picos;PI;(89) 3632-7783;(89) 99195-5001;1.64;60;B+;azul
Pietra Nair Moura;54;186.023.864-51;34.971.806-4;27/02/1969;Feminino;Peixes;Mariana Clara;Benjamin Lorenzo Moura;pietra.nair.moura@gtx.ag;7LD10RGLl4;66030-406;Vila Marina Colassanti;508;Jurunas;Belém;PA;(91) 2714-7339;(91) 99957-9959;1.57;76;AB+;vermelho
Isis Rayssa Pereira;60;640.339.272-71;20.694.918-2;10/03/1963;Feminino;Peixes;Giovanna Josefa;Caleb Sérgio Pereira;isis_rayssa_pereira@cruiser.com.br;8U91B3X8Yo;57073-167;Rua 20;328;Cidade Universitária;Maceió;AL;(82) 2503-6388;(82) 98904-7909;1.65;85;O+;azul
Patrícia Bianca Souza;42;370.004.255-80;18.968.336-3;13/01/1981;Feminino;Capricórnio;Manuela Nair;Miguel Guilherme Souza;patriciabiancasouza@imagemeaudio.com.br;Uznmris4y8;56503-750;Rua B;102;São Cristóvão;Arcoverde;PE;(87) 2596-3584;(87) 98421-2583;1.85;59;AB+;preto
Anderson Pietro Matheus Dias;79;129.770.519-02;41.769.236-5;17/04/1944;Masculino;Áries;Lavínia Allana;Joaquim Miguel Renan Dias;anderson_dias@gamal.com.br;nALTRFqRzS;79908-970;Rua Principal;s/n;Centro;Cabeceira do Apá;MS;(67) 3628-7210;(67) 99774-7251;1.85;86;A-;amarelo
Sophia Vera da Paz;30;706.784.190-94;26.243.421-0;14/03/1993;Feminino;Peixes;Marlene Agatha;Murilo Bernardo da Paz;sophia-dapaz74@aguabr.com.br;O0EH9zgxCq;69036-608;Beco Cassiopéia;456;Santo Agostinho;Manaus;AM;(92) 2975-2244;(92) 98187-7880;1.83;82;O-;verde
Allana Sophia Barros;30;476.184.848-05;37.598.993-6;26/02/1993;Feminino;Peixes;Jaqueline Amanda Rafaela;Marcelo Marcos Yuri Barros;allana-barros88@ctlive.com.br;jANTzwZPaO;80620-170;Praça Monsenhor Francisco Starzinski;381;Água Verde;Curitiba;PR;(41) 2936-6303;(41) 99806-3400;1.64;51;O+;roxo
Isaac Miguel Rezende;27;828.929.931-13;15.082.244-3;09/02/1996;Masculino;Aquário;Benedita Eduarda;Manoel Theo Vicente Rezende;isaac.miguel.rezende@gmapst.com;ZCb7lOgxDN;71715-027;Avenida Segunda Avenida Bloco 960;880;Núcleo Bandeirante;Brasília;DF;(61) 3591-4218;(61) 99734-9982;1.90;101;B-;verde
Cristiane Bianca Baptista;34;772.505.413-82;28.553.104-9;05/03/1989;Feminino;Peixes;Analu Elza Ayla;Bruno Fernando Baptista;cristiane_baptista@innovatis.com.br;dk3zeApYpX;57084-037;Rua A-37;800;Benedito Bentes;Maceió;AL;(82) 3889-8944;(82) 99431-3273;1.72;49;AB+;preto
Igor Pedro Davi Teixeira;23;340.239.485-51;34.786.788-1;21/03/2000;Masculino;Áries;Alice Milena;Henrique Benedito Lorenzo Teixeira;igor_teixeira@leandroreis.com;O7l4r3nWiK;69043-551;Beco Cabral Rolim;778;Alvorada;Manaus;AM;(92) 2703-3635;(92) 99653-5985;1.84;51;A+;preto
Hugo Gabriel Juan Brito;48;014.367.870-17;49.362.495-8;12/04/1975;Masculino;Áries;Alana Gabriela Ayla;Victor Márcio Brito;hugo-brito87@holtmail.com;4srlqrzp5I;66821-765;Travessa Nova Esperança;934;Parque Guajará (Icoaraci);Belém;PA;(91) 2799-3386;(91) 98284-5056;1.80;92;B+;preto
Antônia Laís Josefa Pires;43;644.356.644-02;11.605.950-3;18/02/1980;Feminino;Aquário;Julia Luna Raimunda;Gael Manuel Arthur Pires;antonia-pires75@crsilvadesign.com;mkhgza9LJN;58077-087;Rua Ubirajara dos Santos Lima;182;Cuiá;João Pessoa;PB;(83) 2504-9864;(83) 98803-4537;1.53;79;AB-;vermelho
Enzo Benjamin Campos;73;681.078.610-43;15.890.489-8;05/03/1950;Masculino;Peixes;Marlene Elza;Benício Renato Campos;enzo.benjamin.campos@reisereis.com.br;jHLLFiZfla;25900-031;Rua Agenor da Silva Pinto Coelho;862;Centro;Magé;RJ;(21) 3995-3462;(21) 99793-0144;1.72;63;B+;vermelho
Laura Lara Alves;44;481.116.230-70;24.095.844-5;14/01/1979;Feminino;Capricórnio;Débora Alícia;Raimundo Fábio Felipe Alves;laura-alves71@stilomovelaria.com.br;gw8LxpBRky;59072-885;Rua Cabugi;292;Cidade Nova;Natal;RN;(84) 3853-5736;(84) 99217-9277;1.78;83;A-;azul
Antônia Luiza Vitória Melo;58;117.997.611-85;47.785.260-9;05/04/1965;Feminino;Áries;Mariane Isabel Renata;Benício Augusto Gael Melo;antonialuizamelo@hotmail.it;rlzdQ9df0T;76805-866;Rua Jacy Paraná;548;Baixa União;Porto Velho;RO;(69) 2581-1040;(69) 99926-3394;1.62;73;A-;laranja
Severino Benjamin Nunes;45;786.666.093-03;23.712.553-5;17/04/1978;Masculino;Áries;Caroline Marcela;Igor Daniel Thales Nunes;severinobenjaminnunes@unianhanguera.edu.br;9SDjMqS54B;84165-690;Travessa Coronel Olegário de Macedo;910;Lacustre;Castro;PR;(42) 3730-3143;(42) 98922-2358;1.77;68;B-;vermelho
Ricardo Kaique dos Santos;50;686.545.972-59;46.973.399-8;16/04/1973;Masculino;Áries;Letícia Sara Luna;Pedro Ryan Nathan dos Santos;ricardo_dossantos@babo.adv.br;sKJw40IGMr;71881-637;Quadra QN 12B Conjunto 8;668;Riacho Fundo II;Brasília;DF;(61) 3512-5006;(61) 99429-5980;1.80;81;A-;vermelho
Tereza Bruna Gabrielly Monteiro;25;630.794.158-84;36.729.729-2;02/04/1998;Feminino;Áries;Luciana Jaqueline Marina;Caleb Sebastião Monteiro;tereza.bruna.monteiro@viacorte.com.br;myUzLRJic2;74371-214;Rua F 12;364;Residencial Flórida;Goiânia;GO;(62) 2989-6545;(62) 98675-6050;1.50;82;O+;amarelo
Aurora Bruna Daniela Drumond;20;848.043.196-20;21.755.441-6;07/04/2003;Feminino;Áries;Beatriz Malu;Enzo Rafael Drumond;aurora_bruna_drumond@univap.br;F6HYpeuE57;89253-620;Rua Christina Adriana Pereira;337;São Luís;Jaraguá do Sul;SC;(47) 2570-2178;(47) 99177-8841;1.79;81;AB+;vermelho
Otávio Antonio Diogo Rocha;37;957.062.324-15;35.395.101-8;19/03/1986;Masculino;Peixes;Patrícia Beatriz;Renato Pedro Breno Rocha;otavio_rocha@dominatto.ind.br;pLDop7kTFF;77006-262;Quadra 208 Norte Alameda 4;697;Plano Diretor Norte;Palmas;TO;(63) 2923-4995;(63) 99479-8039;1.94;106;A+;vermelho
Teresinha Vitória Teixeira;71;890.616.488-23;10.699.208-9;08/04/1952;Feminino;Áries;Aurora Renata Fátima;Luan Luiz Teixeira;teresinha-teixeira99@zian.com.br;RHZtdtbT0Q;64027-450;Avenida Camaçari;867;Distrito Industrial;Teresina;PI;(86) 3573-9275;(86) 99993-4961;1.67;63;O+;vermelho
Nathan Severino Bernardes;42;551.179.771-57;22.336.447-2;03/03/1981;Masculino;Peixes;Rebeca Emilly Silvana;Luan Hugo Mário Bernardes;nathan.severino.bernardes@cognis.com;QKjbOeOyY2;85904-100;Rua Cantídio Sampaio;590;Vila Industrial;Toledo;PR;(45) 2737-7235;(45) 99915-5672;1.65;91;O+;amarelo
Andreia Ayla Aurora Barbosa;47;637.186.112-36;42.422.836-1;06/02/1976;Feminino;Aquário;Emilly Eloá;Giovanni Arthur Barbosa;andreiaaylabarbosa@barratravel.com.br;o2jZPeML5i;65058-604;Rua 205;825;Jardim das Palmeiras;São Luís;MA;(98) 3695-2687;(98) 98201-0660;1.69;72;O-;laranja
Enzo Oliver Galvão;64;399.860.251-84;42.625.091-6;14/04/1959;Masculino;Áries;Ayla Eduarda;Iago Carlos Diogo Galvão;enzo.oliver.galvao@costaporto.com.br;nwxGAYkObR;12235-681;Rua Bacabal;656;Parque Industrial;São José dos Campos;SP;(12) 2785-0690;(12) 99616-5024;2.00;50;AB+;vermelho
Lucas Yago Julio Moraes;75;838.368.429-04;32.545.357-3;12/02/1948;Masculino;Aquário;Olivia Marcela;Pedro Bryan Moraes;lucas.yago.moraes@tokiomarine.com.br;1zP6S95N9I;21011-010;Rua do Alpiste;900;Penha Circular;Rio de Janeiro;RJ;(21) 2802-6220;(21) 98968-1772;1.81;80;A-;preto
Yuri Ricardo Lopes;43;874.500.797-71;34.108.989-8;13/03/1980;Masculino;Peixes;Camila Carolina;Nelson Nathan Nathan Lopes;yuri_lopes@br.ibm.com;qxNiMFQnd1;65058-322;Rua 30;752;Jardim América;São Luís;MA;(98) 3717-1181;(98) 99691-9836;1.97;90;AB+;vermelho
Sabrina Elaine Peixoto;41;027.162.889-84;40.280.334-6;17/01/1982;Feminino;Capricórnio;Camila Caroline;Bento Antonio Yuri Peixoto;sabrinaelainepeixoto@daou.com.br;BE7P4He6LD;72428-125;Núcleo Rural Casa Grande Módulo 4 MA - 10;954;Ponte Alta (Gama);Brasília;DF;(61) 2937-5066;(61) 98570-9789;1.55;90;B+;azul
Pedro Carlos Nunes;41;440.993.832-02;15.234.362-3;12/03/1982;Masculino;Peixes;Josefa Vera Rebeca;Luan Nathan Anthony Nunes;pedrocarlosnunes@mmetalica.com.br;LkuRN3SBnq;56326-530;Rua da Jacutinga;985;Dom Avelar;Petrolina;PE;(87) 2550-0289;(87) 98961-4822;1.85;87;O-;vermelho
Jéssica Camila Isabella Duarte;20;049.228.154-81;22.119.343-1;13/04/2003;Feminino;Áries;Allana Maitê Isabelly;Sérgio Raimundo Duarte;jessica_camila_duarte@ogn.com.br;PfclzE6gZp;73340-751;Quadra Quadra E Conjunto E-1;985;Vila Nossa Senhora de Fátima (Planaltina);Brasília;DF;(61) 3775-9719;(61) 98556-6770;1.82;79;AB-;preto
Ricardo Anderson Lucca da Rosa;52;826.909.412-95;14.932.628-2;14/03/1971;Masculino;Peixes;Letícia Patrícia;Igor Pedro Henrique Caio da Rosa;ricardo-darosa83@callan.com.br;84MU1rCHY7;64012-380;Quadra B;711;Santa Maria da Codipe;Teresina;PI;(86) 3711-5130;(86) 99649-2041;1.81;98;AB-;roxo
Cláudio Osvaldo Roberto Nascimento;63;023.142.082-00;43.638.402-4;12/03/1960;Masculino;Peixes;Patrícia Juliana;Matheus Breno Thales Nascimento;claudio_nascimento@me.com;z8ILFJkNYC;74085-200;Rua 113;118;Setor Sul;Goiânia;GO;(62) 2859-0106;(62) 99987-9086;1.76;108;B-;laranja
Carlos Kaique Benjamin Silva;21;160.659.542-33;44.846.500-0;06/03/2002;Masculino;Peixes;Márcia Louise Laís;Alexandre Filipe Renan Silva;carlos.kaique.silva@systrix.com.br;9ABHUSHgKf;98802-255;Rua Oldemar Steinhaus;437;Neri dos Santos Cavalheiro;Santo Ângelo;RS;(55) 2562-8340;(55) 98361-7836;1.77;58;AB-;preto
Arthur Calebe Gonçalves;23;356.847.901-00;41.337.075-6;27/01/2000;Masculino;Aquário;Jennifer Sophia;Yuri Márcio Emanuel Gonçalves;arthur_calebe_goncalves@debiasi.com.br;4tixLuJDlx;78556-630;Avenida Joaquim Socreppa;717;Jardim Celeste;Sinop;MT;(66) 2600-8500;(66) 99266-6097;2.00;85;O+;preto
Sebastiana Rebeca Dias;21;877.754.687-34;11.995.839-9;10/03/2002;Feminino;Peixes;Aparecida Valentina;Calebe Roberto Dias;sebastiana.rebeca.dias@gmx.de;goomNO6dd8;68372-755;Rua São Pedro;755;Jardim Independente I;Altamira;PA;(93) 3565-0466;(93) 99756-4429;1.60;51;AB+;roxo
Natália Teresinha Porto;77;699.096.403-09;27.263.324-0;20/01/1946;Feminino;Capricórnio;Andreia Alessandra;Alexandre Theo Leonardo Porto;natalia-porto80@eletroaquila.net;l905c5q1s5;64013-470;Quadra 17;730;Santa Maria da Codipe;Teresina;PI;(86) 2715-7575;(86) 99546-8780;1.81;62;O-;laranja
Mariana Marcela Sueli Caldeira;80;580.067.988-69;48.873.459-9;08/04/1943;Feminino;Áries;Carolina Andreia Caroline;Otávio Otávio Caldeira;mariana_caldeira@pp33.com.br;LMw33M4lgy;62043-070;Avenida José Euclides Ferreira Gomes;445;Coração de Jesus;Sobral;CE;(88) 3582-8411;(88) 99896-3881;1.84;80;O-;amarelo
Yasmin Flávia Manuela Ramos;32;247.109.705-72;29.206.408-1;08/01/1991;Feminino;Capricórnio;Daniela Eduarda Emanuelly;Jorge Juan Tiago Ramos;yasmin_ramos@fredericodiniz.com;SMUYtwmLyU;24110-310;Rua Doutor Luiz Palmier;177;Barreto;Niterói;RJ;(21) 2904-1875;(21) 98479-8472;1.51;90;AB+;verde
Sabrina Raimunda Daniela Alves;30;468.680.484-16;26.449.433-7;04/04/1993;Feminino;Áries;Julia Esther Eloá;Osvaldo Gustavo Cauê Alves;sabrina-alves83@expressotaubate.com.br;n1tTb6HBem;74968-503;Rua Rio Sena;613;Residencial Village Garavelo;Aparecida de Goiânia;GO;(62) 2715-0919;(62) 99167-3993;1.74;81;O+;vermelho
Marcos Raimundo Matheus Silveira;37;035.916.680-60;50.290.628-5;19/01/1986;Masculino;Capricórnio;Francisca Gabriela;Vitor Cauã Silveira;marcosraimundosilveira@br.com.br;mTUjxTRBdr;30310-590;Praça Abdo Arges Kalil;812;Sion;Belo Horizonte;MG;(31) 3946-2313;(31) 99358-2693;1.62;98;A-;preto
Aparecida Heloisa Araújo;76;200.719.273-01;36.129.415-3;20/01/1947;Feminino;Capricórnio;Cristiane Vera Analu;Sérgio Leonardo Araújo;aparecida.heloisa.araujo@fingrs.com.br;gmSzJxHMNZ;68925-302;Travessa Açaí;152;Elesbão;Santana;AP;(96) 2805-9610;(96) 98957-1680;1.57;46;A+;verde
Murilo Giovanni Barros;79;067.850.694-91;45.385.447-3;12/02/1944;Masculino;Aquário;Letícia Natália Rebeca;Roberto Danilo Ruan Barros;murilo-barros84@redex.com.br;Ay8cB66gl9;68925-129;Avenida Princesa Izabel;652;Hospitalidade;Santana;AP;(96) 2677-8643;(96) 98802-3281;1.96;103;O-;verde
Marcos Vinicius Lorenzo da Mota;64;645.294.825-37;12.080.494-3;21/02/1959;Masculino;Peixes;Sandra Isabel Isabela;Jorge Pedro Anderson da Mota;marcos_vinicius_damota@bol.com.br;JCPURHDF0o;08452-334;Travessa São Floriano;919;Vila Independente;São Paulo;SP;(11) 3950-9956;(11) 98463-4522;1.81;57;O+;laranja
Laura Larissa Melo;26;069.384.644-56;36.988.613-6;21/02/1997;Feminino;Peixes;Esther Antonella;Manuel Vitor Guilherme Melo;laura_melo@ctlive.com.br;zPuQ3TeYjJ;57062-350;Alameda Sisino Borges;373;Petrópolis;Maceió;AL;(82) 2546-8842;(82) 99170-6650;1.81;76;AB-;verde
Samuel Henrique da Luz;27;884.306.565-37;20.782.023-5;15/01/1996;Masculino;Capricórnio;Agatha Vanessa;Thomas Cláudio Theo da Luz;samuelhenriquedaluz@6am.com.br;dFzFjr0dtW;72305-520;Quadra QS 307;188;Samambaia Sul (Samambaia);Brasília;DF;(61) 3749-6010;(61) 99917-0052;1.64;54;A-;vermelho
Lorenzo César Julio Jesus;38;202.485.502-41;43.493.927-4;26/01/1985;Masculino;Aquário;Elza Sara Tereza;Carlos Eduardo Arthur Paulo Jesus;lorenzo_jesus@land.com.br;i7GKbJxYLE;21070-630;Rua Amatari;851;Olaria;Rio de Janeiro;RJ;(21) 3772-0432;(21) 98657-8043;1.80;53;AB-;roxo
Agatha Sophia Moreira;80;794.127.349-72;38.883.924-7;08/04/1943;Feminino;Áries;Clarice Sarah;Arthur Ruan Gabriel Moreira;agatha.sophia.moreira@ppconsulting.com.br;50COkDsxzy;54080-043;Rua Santa Rita;864;Vista Alegre;Jaboatão dos Guararapes;PE;(81) 2987-1783;(81) 98550-8879;1.63;76;A+;roxo
Márcia Alícia Nogueira;64;724.603.791-88;47.442.566-6;04/02/1959;Feminino;Aquário;Kamilly Antonella;Thiago Breno Nogueira;marcia_nogueira@cabletech.com.br;GzSnu8Qwsu;41270-390;Rua Tânia Cristina;502;Campinas de Pirajá;Salvador;BA;(71) 3552-2154;(71) 98230-4784;1.59;90;AB+;laranja
